UniverseId,Name,Genre,Created Date,Updated Date,Max Players,Playability Status,Is Experimental,Price,Visits,Developer,Thumbnail URL,PlayerCount,Upvotes,Downvotes
2471084,🌳 Lumber Tycoon 2,Adventure,2009-07-30T11:02:45.77Z,2024-12-12T17:03:59.303Z,6,N/A,False,,1193657221,Defaultio,N/A,3710,1950186,273751
63951305,RoCitizens,Town and City,2013-12-06T07:38:30.91Z,2024-12-06T19:49:03.51Z,40,N/A,False,,855509569,Firebrand1,N/A,688,1132961,141095
1316421563,Volleyball 4.2,Sports,2019-09-08T23:48:25.407Z,2024-12-09T01:20:02.917Z,24,N/A,False,,265315722,unlimited bolg works,N/A,3717,158353,16501
279565647,❓ LUCKY BLOCKS Battlegrounds,Fighting,2017-02-19T13:50:08.163Z,2024-12-11T00:10:22.547Z,8,N/A,False,,1588274821,silky_dev,N/A,2160,715945,260132
972475338,🎄🚩Expedition Antarctica,Adventure,2018-12-30T09:43:12.993Z,2024-12-09T05:27:01.493Z,42,N/A,False,,340645416,Playduo Studio,N/A,3744,342284,60448
5678284602,Block Tales [Demo 3],RPG,2024-02-23T03:46:51.513Z,2024-11-29T21:51:42.073Z,16,N/A,False,,39889205,Spaceman Moonbase,N/A,2927,221997,9147
184199275,[S11] NFL Universe Football,Sports,2018-09-12T00:25:49.94Z,2024-12-13T22:38:19.9768514Z,10,N/A,False,,377904230,NFL Universe Football by Voldex,N/A,29076,271788,28097
65241,Natural Disaster Survival,All,2008-03-28T21:33:42.623Z,2024-11-05T02:37:57.863Z,30,N/A,False,,3214513172,Stickmasterluke,N/A,11229,3766637,386971
1709917610,Regretevator [ ELEVATOR SIMULATOR ],Adventure,2020-05-02T02:57:08.217Z,2024-12-14T21:30:00.0733914Z,10,N/A,False,,125867842,The Axolotl Sun,N/A,7149,246275,24543
6688157118,Musical Chairs 🎵🪑,All,2024-10-18T07:02:41.78Z,2024-12-13T21:45:29.1881118Z,14,N/A,False,,7205691,Infinity Forge Interactive,N/A,6048,3938,1348
6325068386,[UPD] Blue Lock: Rivals,All,2024-07-26T19:16:18.383Z,2024-12-14T17:48:06.2152726Z,10,N/A,False,,55790193,Blue Lock Rivals Official,N/A,111074,621367,13257
1053132402,Obby Creator,Building,2019-03-02T12:06:10.6Z,2024-11-26T19:28:38.283Z,20,N/A,False,,440199143,Whirlpool Studio,N/A,2733,253043,64745
245662005,Jailbreak 🍁,Town and City,2017-01-06T16:39:11.173Z,2024-12-15T00:04:40.8081941Z,28,N/A,False,,7189090956,Badimo,N/A,13438,5552777,774342
3240075297,Berry Avenue 🏠 RP,Town and City,2022-01-07T23:54:58.843Z,2024-12-06T15:56:30.117Z,30,N/A,False,,4816650543,Amberry Games,N/A,88966,718488,104525
4540138978,Metro Life ❄️ City RP,Town and City,2023-04-03T03:18:34.21Z,2024-12-14T09:21:13.7625243Z,23,N/A,False,,1103766396,Century Creators,N/A,21189,188436,27535
4839802560,LifeTogether 🏠 RP [WINTER❄️],Town and City,2023-07-05T20:36:59.163Z,2024-12-14T09:05:41.7125466Z,28,N/A,False,,1250647004,Cinnamon Software,N/A,49505,435803,35219
5750914919,[UPD] ❄️ Fisch,Adventure,2024-03-13T15:03:39.63Z,2024-12-14T22:26:01.4086765Z,23,N/A,False,,810038471,Fisching,N/A,459379,705911,111565
3262314006,[UPD] Weapon Fighting Simulator,Adventure,2022-01-16T07:03:31.203Z,2024-12-13T11:28:53.157Z,12,N/A,False,,505762119,Lightning Dragon Studio,N/A,2798,533287,36846
4983034985,Conquer Europe WW2 [🌎] World Update,Military,2023-08-13T15:37:24.597Z,2024-12-14T22:00:06.2235889Z,10,N/A,False,,32773690,CioramelFrumos,N/A,1534,27372,6126
2711375305,Catalog Avatar Creator,All,2021-07-03T18:17:43.59Z,2024-12-11T22:06:31.68Z,24,N/A,False,,3004794293,ItsMuneeeb,N/A,34875,1454492,126707
873703865,Westbound,Western,2018-10-09T18:44:39.27Z,2024-12-14T22:07:24.9813871Z,30,N/A,False,,334039234,Moondrop Studios,N/A,3007,433852,68957
6149138290,[🎅] Anime Card Battle,All,2024-06-21T00:41:39.267Z,2024-12-14T04:14:22.4113046Z,25,N/A,False,,93808609,Kung Fu Cat Panda Pepper,N/A,8910,78218,6480
4540494160,[🎄Event!][🚽Free Titan!]⚔Sword Warriors!,All,2023-04-03T07:16:26.293Z,2024-12-13T07:53:34.413Z,6,N/A,False,,236967098,MiaoMeoHome,N/A,4297,470513,19949
2640407187,Car Driving Indonesia,Town and City,2021-06-05T01:58:08.84Z,2024-12-14T05:07:05.5713019Z,1,N/A,False,,223784165,Pengemudiindonesiaa,N/A,2547,91522,19757
4455014064,[Curse of Dreadbear!] FNAF: Tower Defense!,All,2023-03-07T01:49:06.267Z,2024-12-15T00:00:48.7985207Z,30,N/A,False,,11114209,FNAF Tower Defense!,N/A,167,12878,1566
